"filename", "language", "JSON", "JavaScript", "Rust", "Markdown", "C++", "HTML", "PostCSS", "Svelte", "JSON with Comments", "XML", "MS SQL", "comment", "blank", "total"
"d:\Dev\Projects\Grimoire\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 11, 34
"d:\Dev\Projects\Grimoire\index.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 16, 2, 42
"d:\Dev\Projects\Grimoire\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 17, 1, 34
"d:\Dev\Projects\Grimoire\package-lock.json", "JSON", 1505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1506
"d:\Dev\Projects\Grimoire\package.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Dev\Projects\Grimoire\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Dev\Projects\Grimoire\public\flourish.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 1, 11
"d:\Dev\Projects\Grimoire\public\icons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"d:\Dev\Projects\Grimoire\src-tauri\build.rs", "Rust", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 36, 13, 113
"d:\Dev\Projects\Grimoire\src-tauri\capabilities\default.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0001_init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 2, 16
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0002_tags_and_links.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 3, 22
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0003_password_protection.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 2, 17
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0004_templates.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 1, 11
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0005_properties.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 2, 23
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0006_template_properties.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 1, 6
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0007_template_tracking.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 2, 16
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0008_fts.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 20, 6, 52
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0009_fts_rebuild.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 4, 36
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0010_bookmarks.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 1, 10
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0011_settings.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 2, 9
"d:\Dev\Projects\Grimoire\src-tauri\migrations\0012_wikipedia.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 10, 5, 47
"d:\Dev\Projects\Grimoire\src-tauri\src\auth.rs", "Rust", 0, 0, 395, 0, 0, 0, 0, 0, 0, 0, 0, 87, 65, 547
"d:\Dev\Projects\Grimoire\src-tauri\src\commands\bookmarks.rs", "Rust", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7, 68
